Datum;Auftrag #;Transaktionen;Symbol;Name;ISIN;Anzahl;Stückpreis;Kosten;Aufgelaufene Zinsen;Nettobetrag;Währung Nettobetrag;Nettobetrag in der Währung des Kontos;Saldo;Währung
09-03-2021 18:51:12;00000000;Forex-Gutschrift;;;;1.0;11.77;0.00;0.00;11.77;USD;11.77;2.73;USD
09-03-2021 18:51:12;00000000;Forex-Belastung;;;;1.0;10.00;0.00;0.00;-10.00;EUR;-10.00;8.40;EUR
09-03-2021 18:50:59;00000000;Forex-Gutschrift;;;;1.0;54.41;0.00;0.00;54.41;USD;54.41;-9.04;USD
09-03-2021 18:50:59;00000000;Forex-Belastung;;;;1.0;51.00;0.00;0.00;-51.00;CHF;-51.00;216.87;CHF
09-03-2021 17:03:40;83452638;Kauf;NIO;NIO ADS REP 1 CL A ORD;US62914V1061;66.0;39.90;33.95;0.00;-2'667.35;USD;-2'667.35;-63.45;USD
09-03-2021 17:02:46;83452606;Verkauf;ABNB;AIRBNB CL A ORD;US0090661010;14.0;185.65;33.91;0.00;2'565.19;USD;2'565.19;2'603.90;USD
08-03-2021 15:50:25;00000000;Forex-Gutschrift;;;;1.0;152.95;0.00;0.00;152.95;USD;152.95;38.71;USD
08-03-2021 15:50:25;00000000;Forex-Belastung;;;;1.0;130.00;0.00;0.00;-130.00;EUR;-130.00;18.40;EUR
08-03-2021 15:50:12;00000000;Forex-Gutschrift;;;;1.0;2'652.05;0.00;0.00;2'652.05;USD;2'652.05;-114.24;USD
08-03-2021 15:50:12;00000000;Forex-Belastung;;;;1.0;2'500.00;0.00;0.00;-2'500.00;CHF;-2'500.00;267.87;CHF
08-03-2021 15:30:22;83322334;Kauf;BABA;ALIBABA GROUP HOLDING ADR REP;US01609W1027;12.0;229.00;34.97;0.00;-2'782.97;USD;-2'782.97;-2'766.29;USD
08-03-2021 07:31:48;00000000;Vergütung;;;;1.0;2'500.00;0.00;0.00;2'500.00;CHF;2'500.00;2'767.87;CHF
25-02-2021 16:42:38;00000000;Forex-Gutschrift;;;;1.0;4'110.21;0.00;0.00;4'110.21;USD;4'110.21;16.68;USD
25-02-2021 16:42:38;00000000;Forex-Belastung;;;;1.0;3'750.00;0.00;0.00;-3'750.00;CHF;-3'750.00;267.87;CHF
25-02-2021 15:30:21;82728411;Kauf;BABA;ALIBABA GROUP HOLDING ADR REP;US01609W1027;5.0;250.00;27.73;0.00;-1'277.73;USD;-1'277.73;-4'093.53;USD
25-02-2021 15:30:06;82730721;Kauf;ABNB;AIRBNB CL A ORD;US0090661010;14.0;198.90;35.03;0.00;-2'819.63;USD;-2'819.63;-2'815.80;USD
25-02-2021 09:25:30;00000000;Forex-Gutschrift;;;;1.0;1'076.33;0.00;0.00;1'076.33;EUR;1'076.33;148.40;EUR
25-02-2021 09:25:30;00000000;Forex-Belastung;;;;1.0;1'200.00;0.00;0.00;-1'200.00;CHF;-1'200.00;4'017.87;CHF
25-02-2021 09:00:36;00000000;Buy;ETH;ETH;EX0X00ETH000;0.7;1'342.85;9.40;0.00;-949.40;EUR;-949.40;-927.93;EUR
25-02-2021 01:05:24;00000000;Vergütung;;;;1.0;5'000.00;0.00;0.00;5'000.00;CHF;5'000.00;5'217.87;CHF
17-02-2021 18:09:50;00000000;Forex-Gutschrift;;;;1.0;5.96;0.00;0.00;5.96;USD;5.96;3.83;USD
17-02-2021 18:09:50;00000000;Forex-Belastung;;;;1.0;5.00;0.00;0.00;-5.00;EUR;-5.00;21.47;EUR
17-02-2021 16:50:47;82238722;Kauf;BABA;ALIBABA GROUP HOLDING ADR REP;US01609W1027;32.0;271.36;43.88;0.00;-8'727.40;USD;-8'727.40;-2.13;USD
17-02-2021 16:49:20;82238116;Verkauf;STLA;STELLANTIS ORD;NL00150001Q9;100.0;15.90;2.42;0.00;1'587.58;USD;1'587.58;8'725.27;USD
17-02-2021 16:49:20;82238116;Verkauf;STLA;STELLANTIS ORD;NL00150001Q9;150.0;15.903;3.62;0.00;2'381.83;USD;2'381.83;7'137.69;USD
17-02-2021 16:49:20;82238116;Verkauf;STLA;STELLANTIS ORD;NL00150001Q9;200.0;15.9001;9.84;0.00;3'170.18;USD;3'170.18;4'755.86;USD
17-02-2021 16:49:20;82238116;Verkauf;STLA;STELLANTIS ORD;NL00150001Q9;100.0;15.905;16.43;0.00;1'574.07;USD;1'574.07;1'585.68;USD
11-02-2021 20:38:02;81936389;Kauf;TSM;TAIWAN SEMICONDUCTOR MNFTG ADR;US8740391003;37.0;137.65;8.49;0.00;-5'101.54;USD;-5'101.54;11.61;USD
11-02-2021 20:37:05;81936000;Verkauf;STLA;STELLANTIS ORD;NL00150001Q9;320.0;15.985;7.78;0.00;5'107.42;USD;5'107.42;5'113.15;USD
09-02-2021 09:02:25;00000000;Forex-Gutschrift;;;;1.0;199.60;0.00;0.00;199.60;CHF;199.60;217.87;CHF
09-02-2021 09:02:25;00000000;Forex-Belastung;;;;1.0;225.00;0.00;0.00;-225.00;USD;-225.00;5.73;USD
09-02-2021 09:01:38;81640255;Kauf;VWRL;Vanguard All World ETF Dist;IE00B3RBWM25;7.0;99.73;3.90;0.00;-702.00;CHF;-702.00;18.27;CHF
08-02-2021 18:10:44;00000000;Forex-Gutschrift;;;;1.0;2'204.68;0.00;0.00;2'204.68;USD;2'204.68;230.73;USD
08-02-2021 18:10:44;00000000;Forex-Belastung;;;;1.0;2'000.00;0.00;0.00;-2'000.00;CHF;-2'000.00;720.27;CHF
08-02-2021 18:04:10;81639383;Kauf;BABA;ALIBABA GROUP HOLDING ADR REP;US01609W1027;22.0;262.32;8.66;0.00;-5'779.70;USD;-5'779.70;-1'973.95;USD
08-02-2021 09:22:19;00000000;Dividende;FCAU;FIAT CHRYSLER AUTOMOBILES ORD;NL0010877643;1.0;4'477.09;671.56;0.00;3'805.53;USD;3'805.53;3'805.75;USD
08-02-2021 07:51:54;00000000;Vergütung;;;;1.0;2'500.00;0.00;0.00;2'500.00;CHF;2'500.00;2'720.27;CHF
